prompt,completion
mi pona mute ala lon ni.,I'm not very good at this.
I'm not a scientist.,mi jan sona ala.
ma Wensa li jo e toki ona.,Sweden has a language of its own.
jan sona mute li pilin ike tan ni: akesi monsuta pi tenpo pini li monsuta lukin ala.,Scientists disappointed Jurassic World dinosaurs don't look like dinosaurs.
o lukin! pipi waso a!,"Oh, there's a butterfly!"
Good night and sleep tight!,lape pona!
mi ken pana e monsi mi lon supa anu seme?,May I sit down?
Now the earth was completely empty. Darkness was on the surface of the deep. God's ruach was hovering over the surface of the waters.,tenpo ni la ma li jo ala e selo e insa. pimeja li lon sewi anpa. kon sewi li kon lon sewi telo.
sina ken tawa poka mi anu seme?,Can you go with us?
Your brother needs help.,mije sama sina li wile e pona.
jan Ton li pana e tenpo namako suli ona tawa kalama pi ilo kalama linja.,Tom spends most of his spare time practicing the guitar.
Tell Tom we can't do that.,o toki e ni tawa jan Ton: mi mute li ken ala pali e ni.
"I don't eat anything that comes from an animal, but my cat does.",mi moku ala e ijo tan soweli. taso soweli mi li moku e ni.
Are you a singer?,sina jan pi kalama musi anu seme?
See you at two this afternoon.,sinpin pi tenpo pimeja ni la mi lukin e sina lon tenpo suli tu pi ilo tenpo.
sike mun tu pini la mi lukin ala e ona.,I haven't seen her for two months.
I'm powerless.,mi jo ala e ken.
Have you decided yet?,sina kama a wile anu seme?
ni li toki musi soweli.,It's a story about animals.
sina pona ala pona?,Are you okay?
mi wile tawa sin tawa ma tomo Pasen.,I had to go back to Boston.
sina ken kepeken e len ante anu seme?,Can you wear different clothes?
Someone is battering at the door.,jan li utala e lupa!
Tom will be a good teacher.,tenpo kama la jan Ton li pana pona e sona.
My headache is completely gone.,pakala lawa mi li weka.
Tonight I'm available.,tenpo pimeja ni la mi ken.
jan Ton li tan ma tomo Pasen.,Tom is from Boston.
pan suwi li ike mute tawa mi.,I hate cake.
That's what I asked.,ni li seme mi.
soweli pi selo jan li jo e lawa pi wawa mute. soweli tomo li jo e lawa pi wawa lili.,Apes rank above dogs in intelligence.
The only good fascist is a dead fascist.,jan li sewi e ma sama li wile e jan lawa wawa li pakala e jan pi wawa ala li moli la ni li pona. jan ni li moli ala la ni li ike.
ni li nimi ante anu nimi sama kepeken nasin ante?,Is this a different word or just another form of the same word?
The statue was damaged.,kiwen musi li pakala.
moku pi tenpo pimeja li open pi ala lili.,The dinner is almost ready.
They are both in the room.,ona tu li lon tomo.
tomo ona li lon seme?,Where is his house?
They were dreaming.,ona li lukin e sitelen lawa lon tenpo pini.
jan Ton li toki tawa jan Mewi e ni: pilin ona la jan San li moli ala.,Tom told Mary that he didn't think John was dead.
o tawa ala!,Don't move!
We're under attack.,jan li utala e mi.
mi seme kin e jan ala.,I haven't asked anyone yet.
kulupu li kama tawa ma tomo Nujo.,The party started for New York.
"Tom tried to open the door, but he was not able to.","jan Ton li lukin open e lupa tomo, taso ona li ken ala."
kon li pakala e kasi ni.,The wind brought this tree down.
On many occasions I do not agree with him.,"tenpo mute la, mi en ona li pilin ante."
He's swimming.,"li tawa, lon telo."
Has she already finished reading the book?,ona li pini e ni anu seme: ona li lukin e lipu sona?
jan Ton li ken ala awen ala sona e jan Mewi.,Tom can't forget Mary.
mi wile tawa tomo telo.,I must go to the toilet.
mi wile e ni.,I need this.
"In Buddhism, the god Enma rules the underworld.",nasin sewi Puta la jan sewi Ema li lawa e ma anpa.
Why is she angry?,meli ni li pilin utala tan seme?
I don't want to jump into the cold water.,"mi wile ala noka wawa tawa anpa, tawa telo lete."
ni li pali e seme pona?,What did that accomplish?
tu wan pi ala lili taso.,Almost three.
They walked toward the bridge.,ona li tawa nasin pi noka suli.
mi wile tawa weka.,I should leave.
mi pakala e poki.,I broke a glass.
mi sona ala e toki.,I don't quite know what to say.
jan Ton li ante ala e wile ona.,Tom didn't change his plans.
tomo poki li open.,The cage is open.
I like to fish.,mi alasa e kala. ni li pona tawa mi.
Hit Tom.,o utala e jan Ton.
ona li pona tawa jan ale.,He is liked by everybody.
ona li wile e ni: tomo tawa linja ona li kama lon tenpo pona.,They hope that their train will arrive on time.
"mi wile jo e lipu pi nimi ale, pi toki Kanse.",I wish I had a good French dictionary.
What time did you get to sleep?,sina lape lon tenpo seme?
A hummingbird is no larger than a butterfly.,waso pi awen lon kon en pipi waso li jo e suli sama.
I knew your brother.,mi sona e mije sama sina.
Maybe that's what we all need to do.,ken la mi ali li wile pali e ni.
supa pi mute ala li lon tomo mi.,There isn't much furniture in my room.
Don't try to be in two places at the same time.,o lukin ala pali ni: sina lon tu lon tenpo wan.
I don't agree with you.,toki sina li ike tawa mi.
jan Ton li sona e ni: jan Malija li wile tawa ma tomo Pasen li wile awen lon ona.,Tom knew Mary wanted to move to Boston.
I believe in you.,mi pilin wawa e ni: sina pona.
She talked about her family.,ona li toki e ijo pi kulupu mama ona.
mi toki ala e ni: tenpo pini la mi lon ma Oselija.,I didn't say I used to live in Australia.
mi wile toki sin tawa ona.,I need to talk to you afresh.
They said that they wouldn't dance.,ona li toki e ni: ona li tawa musi ala.
The branch is full of leaves.,lipu mute li lon palisa kasi.
tomo tawa mute li ike mute lon ma tomo.,Traffic is a major urban problem.
I'm in a black house.,mi lon tomo pimeja.
Can you pass me the salt?,sina ken ala ken pana e ko sin walo tawa mi?
mije lili ni li jan sama pi mije ni.,That boy is his brother.
pimeja li kama.,It's getting dark.
"jan li ken ala kama pilin wawa e lon pi ijo ni, taso jan Ton sina li unpa e jan ante.","It's hard to believe, but Tom is cheating on you!"
mi ken kepeken ilo sitelen sina anu seme?,Can I use your pen?
How'd you know I was Danish?,sina sona e Tansi mi tan seme?
Get lost.,o weka a!
You'd better avoid discussion of religion and politics.,o utala toki ala e nasin sewi e musi lawa.
You make me laugh.,sina pali e ni: mi pilin musi.
mi meli li olin e meli.,I'm a lesbian.
jan Ton li kama ala sona open e poki.,Tom couldn't figure out how to get the box open.
sina ken kalama musi uta la ni li pona.,It would be good if you could sing.
Chess is a good companion for life.,"musi pi jan lawa ma li jan pona, li lon poka jan lon ale jan."
jan Mewi li ike mute ala tawa jan Ton.,Tom doesn't hate Mary.
When you play under time control remember that you are fighting the clock as well as your opponent.,"sina musi kepeken ilo tenpo, la sina o awen sona e jan ante e ilo tenpo."
Tom secretly desires a strong leader who will violently make his country great again.,weka tan sona la jan Ton li wile e ni: jan lawa wawa li pona sin e ma ona kepeken utala.
They're non-binary.,ona li tonsi.
I am learning how to drive.,mi kama sona lawa e tomo tawa.
We're smart people.,mi jan pi lawa wawa.
This is Greek to me.,ni li nasa tawa mi.
mi jo ala e tenpo ni: mi moku lon insa pi tenpo suno. tan ni la mi wile moku.,"I didn't have time to eat lunch, so I'm hungry."
mi sona ala alasa.,I don't know how to hunt.
jan Ton li utala e mi.,Tom attacked me.
mi sona e meli sama pi jan Ton.,I know Tom's sister.
Dan was the first to arrive.,jan Tan li kama li nanpa wan.
mi pakala ala e ijo.,I am not breaking anything.
Who went with you?,jan seme li tawa poka sina?
ijo mute li pana e ante.,There were a number of reasons for the change.
seme pi ike nanpa wan li ken kama?,What's the worst that can happen?
It's a stupid rule.,lawa ni li nasa.
He has got a lot of money.,ona li jo e mani mute.
ona li jan alasa.,He's a hunter.
Mayuko left the room.,jan Majuko li tawa tan tomo.
It's really sad.,ona li ike mute.
Mary and her husband have no children.,jan Mewi en mije ona li jo ala e jan lili.
I hope your assignment in England was successful.,mi wile e ni: pali sina li pini pona lon ma Inli.
sina ali li lon. ni li pona mute tawa mi.,I'm so glad you are all here.
ona li jo e tomo pi suli mute.,She lives in a huge house.
I don't want to go.,mi wile ala tawa.
OK. I agree.,pona. mi pilin sama.
You're an animal.,sina soweli.
I lost my watch.,mi sona ala e ni: ilo tenpo mi li lon seme?
jan Ton li kama e ni anu seme?,Did Tom cause this?
kulupu mama li kulupu mama.,Family is family.
They speak English and French in Canada.,jan Kanata li kepeken e toki Kanse e toki Inli.
Where are you right now?,tenpo ni kin la sina lon seme?
I'm looking for my keys.,mi wile lukin e ilo open mi.
jan Ton li pini e toki wawa.,Tom stopped screaming.
ale li pona.,Everything will be OK.
The expiry date is printed under the bottle cap.,tenpo pi kama jaki li lon sitelen lon anpa pi lawa poki.
"Instead of deleting your sentences, how about making them better?","sina weka e linja nimi sina, la tan seme la sina pona ala e ona?"
soweli tomo tu li lape.,Both dogs are asleep.
He was obviously drunk.,lukin la ona li nasa.
mije lili mi li jan utala.,My sons are soldiers.
Release Tom.,o ken e ni: jan Ton li tawa.
Can he speak English?,ona li sona ala sona e toki Inli?
"She's unpleasant, isn't she?",ona li ike tawa jan anu seme?
tenpo li tawa la sona li kama.,"As time passes, wisdom increases."
They're experiencing white water rafting on a class five river.,ona mute li tawa lon telo tawa wawa walo.
sina jo e jan lili pi pona lukin.,You have a beautiful daughter.
"ken la mi mute li tawa sitelen tawa lon tenpo pimeja ni, lon ala tenpo pimeja kama?",Suppose we go to the movies tonight instead of tomorrow?
toki akesi sina li pakala e pilin mi.,Your cruel words hurt my feelings.
Mr Brown is in the sunset of his life.,tenpo kama lili la jan Wan li moli.
ona li sona mute.,He's very smart.
"Tom didn't know how to translate the word ""computer"" because the people he was talking to had never seen one.","jan Ton li sona ala pana e nimi ""ilo sona"" lon toki ante tan ni: tenpo pini ala la jan ni li lukin e ilo sona."
Money rules the world.,mani li lawa e sike ma.
sina jan olin meli mi.,You're my girlfriend.
tenpo suli li kama tawa sina anu seme? sina wile ala e ona. sina kama jan pi sona mute anu seme? sina wile e ona.,Growing old is mandatory. Growing up is optional.
o wawa e ilo toki sina.,Charge your phone.
ona li jan powe.,It's a doll.
Every day they killed a llama to make the Sun God happy.,tenpo suno ali la ona li moli e soweli tawa jan sewi suno.
jan Ton li lukin e ona li toki ala.,Tom looks at her without saying anything.
That was a great movie.,ona li sitelen tawa pona mute.
o lon ala lon nasin mi.,Don't get in my way.
Emily is afraid of heights.,"jan Emili li lon sewi suli, la ona li pilin akesi."
mi ken musi wawa e utala lon supa pi kule tu.,I am a very good chess player.
meli sama mi li olin e musi pi ilo luka linja.,My sister is crazy about tennis.
Could you give me a discount?,sina ken ala ken lili e mani tawa mi?
jan Ton li toki.,Tom is talking.
It would be to your advantage to study Spanish.,ni ante li pona mute tawa sina: sina kama sona e toki Epanja.
I feel safe.,mi pilin e ni: ijo li awen e mi.
mama mije pi jan Ton li jan pi telo nasa mute.,Tom's father was a drunkard.
Language is difficult.,toki li ike pali.
She knows the main capital cities.,ona li sona e ma tomo lawa pi suli mute.
jan Ton li telo e len sin ona la len ni li kama lili. tenpo ni la ona li lili mute tawa jan Ton.,Tom's new shirt shrunk when he washed it and now it doesn't fit.
I feel very cold.,mi pilin lete.
Keep the door open.,o pini ala e lupa.
meli mi li ken ala kama.,My wife couldn't come.
sina sona ala sona e toki luka?,Do you know sign language?
mi jo e mani lili tawa lukin sona.,We have little money available for the research.
jan Ton li kama sin anu seme?,Has Tom come back?
jan li ante e len pi supa lape lon tenpo suno pini.,The sheets were changed yesterday.
tenpo li suli ike.,Too late.
Sami was accused of lying.,jan li toki e ni: jan Sami li toki pi lon ala.
"o tawa, o telo e luka sina.",Go wash your hands.
o pali e ni lon tenpo kama.,Do that later.
It was last week.,sike esun pini la ona li kama.
Can you hear me?,sina kute ala kute e mi?
That gray-haired man is Tom's father.,mije pi linja walo pimeja ni li mama pi jan Ton.
"Meow, said the cat, and it looked at me.",soweli tomo li mu li lukin e mi.
jan Ton li ken pali pona e moku.,Tom is a good cook.
Tom has collected a great many butterflies.,jan Ton li kama jo e kulupu suli pi pipi waso.
tomo tawa suli li weka e ko pi ma seli lon ma.,The lorry dumped the sand on the ground.
Tom's working.,jan Ton li pali.
jan Ton li wile ala toki e ni.,Tom was reluctant to talk about it.
tan seme la soweli tomo li lon ala ni?,Why aren't there any cats in here?
tenpo seme la sina olin e ona?,How long have you been in love with her?
Tom swam.,jan Ton li tawa lon telo.
I'm waiting for this store to open.,mi awen tawa kama pi tenpo ni: esun ni li open.
mi kama pona sin.,I'm getting better.
mi pilin e ni: sewi li lon.,In God We Trust.
o pilin ike ala. weka pi linja lawa li pilin ike ala.,"Don't worry, cutting your hair doesn't hurt."
"She's passionate, isn't she?",pilin ona li wawa anu seme?
Can you take a picture of me?,sina wile pali e sitelen tan mi kepeken ilo pana sitelen anu seme?
o open ala e pilin sina.,Don't let your feelings show.
It's very hot today.,"tenpo suno ni, la kon li seli mute."
"Is there a thing of which it may be said, ""Behold, this is new?"" It has been long ago, in the ages which were before us.","ijo ni li lon anu seme: jan li ken toki e ni ona: ""o lukin, ni li sin a!"" tenpo pini suli weka la ona li lon kama pi tenpo mi."
mi mute li ken ala ken toki lon toki Kanse?,Can we speak French?
ona li jan ike. sina sona ala sona e ni?,He's the enemy. Don't you understand?
Where are the women?,meli li lon seme?
jan Ton taso li ken ala pali e ni.,Tom is the only one who doesn't know how to do this.
A simply and clearly written original makes translators happy.,"sitelen nanpa wan li pona li weka e ike, la jan pi toki ante li pilin pona a."
sina lukin ala lukin e ilo lili sina pi lukin pona?,Have you found your contact lenses?
ale li pona.,It'll be OK.
mi kama sona e toki Aja.,I am learning Armenian.
We've got to warn Tom about that.,mi mute li wile toki e ni tawa jan Ton.
I like her house.,tomo ona li pona tawa mi.
jan Ton taso li jo e len sijelo monsi.,Tom is the only person wearing a cape.
kin.,Indeed.
Who helps her?,jan seme li wile pana e pona tawa ona?
pilin mi la jan Ton li pilin pona tan lukin pi jan Mewi.,Tom must have been happy to see Mary.
How many centuries are there in a millennium?,sike suno ale pi tenpo luka luka la sike suno ale pi mute seme li lon?
I would like to know her name.,mi wile sona e nimi ona.
mi tawa insa pi ma tomo tan ni: mi wile moku e pan sike.,We are going downtown to eat pizza.
tenpo suno ale la jan Ton li telo e linja lawa ona.,Tom washes his hair every day.
